timestamp,sensor_id,temperature
2026-02-14 17:29:37.415850,S01,4.62
2026-02-14 17:29:37.415924,S01,7.06
2026-02-14 17:29:37.415938,S01,9.26
2026-02-14 17:29:37.415945,S01,6.57
2026-02-14 17:29:37.415952,S01,5.31
2026-02-14 17:29:37.415959,S01,3.33
2026-02-14 17:29:37.415966,S01,6.65
2026-02-14 17:29:37.415972,S01,2.68
2026-02-14 17:29:37.415979,S01,6.66
2026-02-14 17:29:37.415985,S01,3.62
2026-02-14 17:29:37.415992,S01,2.98
2026-02-14 17:29:37.415998,S01,2.78
2026-02-14 17:29:37.416005,S01,8.63
2026-02-14 17:29:37.416011,S01,8.68
2026-02-14 17:29:37.416018,S01,9.28
2026-02-14 17:29:37.416024,S01,3.06
2026-02-14 17:29:37.416031,S01,2.72
2026-02-14 17:29:37.416037,S01,5.5
2026-02-14 17:29:37.416044,S01,2.75
2026-02-14 17:29:37.416051,S01,3.58
2026-02-14 17:29:37.416057,S01,5.23
2026-02-14 17:29:37.416064,S01,6.97
2026-02-14 17:29:37.416070,S01,6.68
2026-02-14 17:29:37.416077,S01,5.19
2026-02-14 17:29:37.416084,S01,6.22
2026-02-14 17:29:37.416090,S01,4.92
2026-02-14 17:29:37.416097,S01,5.22
2026-02-14 17:29:37.416103,S01,5.05
2026-02-14 17:29:37.416110,S01,5.7
2026-02-14 17:29:37.416116,S01,5.74
2026-02-14 17:29:37.416123,S01,7.01
2026-02-14 17:29:37.416129,S01,9.05
2026-02-14 17:29:37.416136,S01,8.23
2026-02-14 17:29:37.416143,S01,7.66
2026-02-14 17:29:37.416149,S01,2.57
2026-02-14 17:29:37.416155,S01,6.51
2026-02-14 17:29:37.416162,S01,7.61
2026-02-14 17:29:37.416168,S01,2.6
2026-02-14 17:29:37.416175,S01,4.92
2026-02-14 17:29:37.416181,S01,7.4
2026-02-14 17:29:37.416188,S01,5.56
2026-02-14 17:29:37.416194,S01,6.44
2026-02-14 17:29:37.416201,S01,3.81
2026-02-14 17:29:37.416207,S01,6.52
2026-02-14 17:29:37.416214,S01,4.81
2026-02-14 17:29:37.416220,S01,4.84
2026-02-14 17:29:37.416227,S01,5.87
2026-02-14 17:29:37.416233,S01,8.31
2026-02-14 17:29:37.416239,S01,9.78
2026-02-14 17:29:37.416246,S01,5.93
